Rank,Name,Symbol,Market_Cap,Price,circulating_supply,name,Volume_24h,Precent_1h,Precent_24h,Precent_7d,precent_1h,precent_24h,precent_7d,100,
63,Ocean Protocol,OCEAN,218603836.00,0.53,"414,026,837",OCEAN,18021221.00,-0.0081,-0.031,0.0291,-0.81,-3.1,2.91,100,
64,Celo,CELO,211565789.00,1.70,"124,447,717",CELO,1397736.00,0.0101,-0.0211,0.1774,1.01,-2.11,17.74,100,
65,Zilliqa,ZIL,211814986.00,0.02,"10,640,925,495",ZIL,24972088.00,0.0058,-0.0094,0.0355,0.58,-0.94,3.55,100,
66,Loopring,LRC,201588163.00,0.18,"1,145,982,211",LRC,18521751.00,0.0024,-0.0135,0.2102,0.24,-1.35,21.02,100,
67,ICON,ICX,195901712.00,0.34,"572,773,754",ICX,17765693.00,0.0005,-0.0307,0.0119,0.05,-3.07,1.19,100,
68,Qtum,QTUM,192560957.00,1.98,"97,394,216",QTUM,255918273.00,0.0007,-0.03,-0.021,0.07,-3,-2.1,100,
69,Hedera Hashgraph,HBAR,188072729.00,0.03,"6,014,452,876",HBAR,8987159.00,0.0115,-0.0191,0.0328,1.15,-1.91,3.28,100,
70,Quant,QNT,186629036.00,15.46,"12,072,738",QNT,3966689.00,0.0066,-0.0205,0.1579,0.66,-2.05,15.79,100,
71,SushiSwap,SUSHI,189287081.00,1.25,"151,939,827",SUSHI,202407463.00,0.0568,0.1792,0.9473,5.68,17.92,94.73,100,
72,Kyber Network,KNC,178277898.00,0.89,"200,537,940",KNC,26494678.00,0.0056,-0.003,0.0867,0.56,-0.3,8.67,100,
73,Blockstack,STX,164025389.00,0.24,"684,097,370",STX,1983488.00,-0.0036,-0.0339,0.2536,-0.36,-3.39,25.36,100,
74,Reserve Rights,RSR,144763579.00,0.02,"9,349,999,000",RSR,74722015.00,0.0157,-0.0402,0.0727,1.57,-4.02,7.27,100,
75,Ampleforth,AMPL,141535081.00,1.02,"138,316,918",AMPL,2986805.00,0.0042,-0.0848,-0.1516,0.42,-8.48,-15.16,100,
76,THORChain,RUNE,139789027.00,0.88,"158,432,088",RUNE,39313812.00,0.0324,0.0537,0.5376,3.24,5.37,53.76,100,
77,Lisk,LSK,135537979.00,1.07,"126,413,228",LSK,3243058.00,0.0107,-0.023,-0.0322,1.07,-2.3,-3.22,100,
78,Bitcoin Gold,BTG,129744059.00,7.41,"17,513,924",BTG,5898864.00,0.0064,-0.0353,-0.0127,0.64,-3.53,-1.27,100,
79,Aragon,ANT,127846528.00,3.23,"39,609,523",ANT,15050784.00,0.0057,-0.025,0.0383,0.57,-2.5,3.83,100,
80,NXM,NXM,126400853.00,23.93,"5,283,196",NXM,25445406.00,0.0026,0.0331,0.0774,0.26,3.31,7.74,100,
81,Augur,REP,126111161.00,11.46,"11,000,000",REP,4872877.00,0.0143,-0.1729,-0.1362,1.43,-17.29,-13.62,100,
82,Revain,REV,120496467.00,0.01,"11,484,410,729",REV,327264.00,0.0061,0.0022,0.0024,0.61,0.22,0.24,100,
83,Terra,LUNA,118797035.00,0.31,"385,670,306",LUNA,5285322.00,0.0037,0.0089,0.0165,0.37,0.89,1.65,100,
84,Siacoin,SC,118412358.00,0.00,"45,044,032,992",SC,2941854.00,0.0011,-0.0184,-0.015,0.11,-1.84,-1.5,100,
85,Enjin Coin,ENJ,118855714.00,0.14,"823,130,411",ENJ,8163660.00,0.0165,0.0186,0.0573,1.65,1.86,5.73,100,
86,The Midas Touch Gold,TMTG,118092480.00,0.02,"6,954,022,898",TMTG,4211676.00,0.0010,-0.0652,-0.19,0.1,-6.52,-19,100,
87,Decentraland,MANA,116878356.00,0.08,"1,483,903,742",MANA,31731142.00,0.0153,-0.0106,-0.0913,1.53,-1.06,-9.13,100,
88,ZB Token,ZB,114825818.00,0.25,"463,288,810",ZB,7869118.00,0.0069,-0.0056,-0.0104,0.69,-0.56,-1.04,100,
89,Band Protocol,BAND,113042852.00,5.52,"20,494,033",BAND,77440429.00,0.0024,-0.0319,-0.024,0.24,-3.19,-2.4,100,
90,Nexo,NEXO,111101633.00,0.20,"560,000,011",NEXO,8282483.00,-0.0253,-0.0349,0.1945,-2.53,-3.49,19.45,100,
91,Numeraire,NMR,105819289.00,23.82,"4,441,757",NMR,5464253.00,0.0163,-0.0005,0.0272,1.63,-0.05,2.72,100,
92,Elrond,EGLD,103971314.00,7.58,"13,710,605",EGLD,3487645.00,0.0048,0.0107,-0.0814,0.48,1.07,-8.14,100,
93,Golem,GNT,99007090.00,0.10,"990,670,000",GNT,5713193.00,0.0033,0.0018,0.115,0.33,0.18,11.5,100,
94,Nano,NANO,97435243.00,0.73,"133,248,297",NANO,4582744.00,0.0047,-0.0287,-0.0608,0.47,-2.87,-6.08,100,
95,Ravencoin,RVN,95734809.00,0.01,"7,482,875,000",RVN,3880689.00,-0.0020,0.0049,0.0267,-0.2,0.49,2.67,100,
96,DxChain Token,DX,94525530.00,0.00,"50,000,000,000",DX,458793.00,-0.0027,-0.0341,0.0362,-0.27,-3.41,3.62,100,
97,Solana,SOL,93803904.00,2.04,"45,909,527",SOL,18621333.00,0.0134,0.0658,-0.0526,1.34,6.58,-5.26,100,
98,Curve DAO Token,CRV,93526518.00,0.78,"120,200,945",CRV,122036928.00,0.0139,0.096,0.6527,1.39,9.6,65.27,100,
99,SwissBorg,CHSB,93786371.00,0.10,"923,480,140",CHSB,538581.00,0.0435,0.0147,0.1911,4.35,1.47,19.11,100,
100,CyberVein,CVT,91673188.00,0.09,"1,060,404,496",CVT,5260427.00,-0.0134,-0.0487,-0.1249,-1.34,-4.87,-12.49,100,
101,Status,SNT,88139668.00,0.03,"3,470,483,788",SNT,4730690.00,0.0033,-0.0171,0.1142,0.33,-1.71,11.42,100,
102,Balancer,BAL,87178261.00,12.55,"6,943,831",BAL,105840864.00,0.0040,-0.0278,0.2212,0.4,-2.78,22.12,100,
103,Avalanche,AVAX,86646214.00,3.54,"24,500,000",AVAX,22702610.00,0.0005,0.0103,0.0173,0.05,1.03,1.73,100,
104,Bitcoin Diamond,BCD,85543557.00,0.46,"186,492,898",BCD,2742138.00,0.0145,0.0162,0.0163,1.45,1.62,1.63,100,
105,Holo,HOT,83930601.00,0.00,"166,760,920,521",HOT,5242301.00,0.0173,0.0265,0.0345,1.73,2.65,3.45,100,
106,MonaCoin,MONA,81343746.00,1.24,"65,729,675",MONA,683478.00,0.0003,-0.0063,-0.0287,0.03,-0.63,-2.87,100,
107,Orchid,OXT,81522611.00,0.22,"367,584,352",OXT,3328821.00,0.0157,-0.0286,-0.0099,1.57,-2.86,-0.99,100,
108,iExec RLC,RLC,81019518.00,1.01,"80,070,793",RLC,8739951.00,0.0098,0.0157,0.1386,0.98,1.57,13.86,100,
109,Matic Network,MATIC,78316795.00,0.02,"4,757,759,104",MATIC,7699718.00,0.0079,-0.0173,0.0461,0.79,-1.73,4.61,100,
110,Bytom,BTM,78165985.00,0.06,"1,387,205,107",BTM,14717545.00,0.0094,-0.0136,-0.0273,0.94,-1.36,-2.73,100,
111,PAX Gold,PAXG,76834558.00,1889.81,"40,657",PAXG,809180.00,0.0007,-0.0053,-0.0371,0.07,-0.53,-3.71,100,
112,Arweave,AR,76259171.00,2.28,"33,394,701",AR,2729045.00,0.0045,-0.0031,0.0215,0.45,-0.31,2.15,100,
113,IoTeX,IOTX,73483582.00,0.01,"9,682,464,442",IOTX,4474112.00,-0.0271,-0.0507,-0.0395,-2.71,-5.07,-3.95,100,
114,IOST,IOST,73737684.00,0.00,"15,270,322,958",IOST,15630788.00,0.0089,-0.0084,-0.0478,0.89,-0.84,-4.78,100,
115,Swipe,SXP,72362163.00,0.92,"78,566,934",SXP,47783321.00,-0.0050,-0.0177,-0.0631,-0.5,-1.77,-6.31,100,
116,Verge,XVG,71093807.00,0.00,"16,388,932,743",XVG,1087707.00,0.0069,-0.0267,0.017,0.69,-2.67,1.7,100,
117,Nervos Network,CKB,71558925.00,0.00,"21,408,848,275",CKB,5582704.00,-0.0096,0.092,0.1242,-0.96,9.2,12.42,100,
118,Civic,CVC,70318815.00,0.10,"670,000,000",CVC,67024830.00,-0.0001,-0.0272,0.6096,-0.01,-2.72,60.96,100,
119,Kava.io,KAVA,69230576.00,1.48,"46,876,230",KAVA,12176445.00,0.0064,0.0129,0.009,0.64,1.29,0.9,100,
120,Storj,STORJ,67710069.00,0.34,"199,695,920",STORJ,18293801.00,0.0053,-0.0366,-0.0391,0.53,-3.66,-3.91,100,
121,KuCoin Shares,KCS,66676805.00,0.83,"80,728,394",KCS,5619888.00,-0.0015,-0.0157,-0.0164,-0.15,-1.57,-1.64,100,
122,Horizen,ZEN,65995139.00,6.36,"10,382,475",ZEN,3569802.00,0.0093,0.0279,0.0261,0.93,2.79,2.61,100,
123,DFI.Money,YFII,66077303.00,1712.02,"38,596",YFII,238296455.00,-0.0001,0.1153,0.071,-0.01,11.53,7.1,100,
124,Helium,HNT,64638416.00,1.16,"55,655,325",HNT,993960.00,0.0052,0.0059,-0.0265,0.52,0.59,-2.65,100,
125,Gnosis,GNO,63171837.00,57.19,"1,104,590",GNO,56394.00,0.0057,0.0368,-0.0154,0.57,3.68,-1.54,100,
126,Divi,DIVI,62976128.00,0.03,"1,998,888,760",DIVI,104577.00,0.0143,-0.0281,-0.0253,1.43,-2.81,-2.53,100,
127,RSK Infrastructure Framework,RIF,62168338.00,0.09,"666,900,011",RIF,406310.00,-0.0044,-0.0045,-0.0579,-0.44,-0.45,-5.79,100,
128,Uquid Coin,UQC,61824449.00,6.18,"10,000,000",UQC,5602162.00,-0.0710,-0.0744,-0.2214,-7.1,-7.44,-22.14,100,
129,MaidSafeCoin,MAID,61329135.00,0.14,"452,552,412",MAID,461968.00,0.0045,0.0013,0.0396,0.45,0.13,3.96,100,
130,Velas,VLX,60400661.00,0.03,"2,106,296,362",VLX,1064101.00,-0.0016,-0.0631,-0.0476,-0.16,-6.31,-4.76,100,
131,Serum,SRM,59473723.00,1.19,"50,000,000",SRM,58304412.00,0.0333,0.1508,0.0651,3.33,15.08,6.51,100,
132,Utrust,UTK,58221777.00,0.13,"450,000,000",UTK,3903985.00,0.0150,0.0556,-0.0643,1.5,5.56,-6.43,100,
133,Steem,STEEM,57589917.00,0.15,"393,351,531",STEEM,1002956.00,0.0086,-0.0191,-0.0022,0.86,-1.91,-0.22,100,
134,Komodo,KMD,55618311.00,0.45,"122,750,815",KMD,2186472.00,-0.0028,-0.0589,-0.0016,-0.28,-5.89,-0.16,100,
135,Ardor,ARDR,54582615.00,0.05,"998,999,495",ARDR,3409205.00,0.0066,-0.0236,0.0516,0.66,-2.36,5.16,100,
136,BitShares,BTS,53865463.00,0.02,"2,997,510,000",BTS,3512314.00,0.0033,-0.0064,-0.0157,0.33,-0.64,-1.57,100,
137,Bancor,BNT,52675082.00,0.74,"70,845,538",BNT,41923852.00,0.0268,0.1,0.1257,2.68,10,12.57,100,
138,Chiliz,CHZ,52275540.00,0.01,"4,920,737,861",CHZ,5017093.00,0.0100,-0.01,0.0221,1,-1,2.21,100,
139,JUST,JST,52233458.00,0.02,"2,260,326,706",JST,61690342.00,-0.0175,0.1588,0.1303,-1.75,15.88,13.03,100,
140,WAX,WAXP,51209858.00,0.04,"1,406,234,301",WAXP,345903.00,0.0008,-0.0103,0.0665,0.08,-1.03,6.65,100,
141,aelf,ELF,51178745.00,0.09,"544,480,200",ELF,8634948.00,-0.0015,-0.0338,0.0402,-0.15,-3.38,4.02,100,
142,Stratis,STRAT,49056202.00,0.49,"100,035,896",STRAT,1766181.00,0.0011,-0.0025,0.0251,0.11,-0.25,2.51,100,
143,Unibright,UBT,48577983.00,0.33,"148,799,999",UBT,1515356.00,0.0124,-0.0881,-0.1107,1.24,-8.81,-11.07,100,
144,Hive,HIVE,48007718.00,0.12,"412,190,176",HIVE,1930187.00,0.0124,0.0051,0.0172,1.24,0.51,1.72,100,
145,Wanchain,WAN,48193890.00,0.29,"168,683,515",WAN,1217595.00,0.0019,-0.0399,0.1214,0.19,-3.99,12.14,100,
146,Ankr,ANKR,48360040.00,0.01,"5,829,566,044",ANKR,9003881.00,0.0024,-0.0383,-0.0429,0.24,-3.83,-4.29,100,
147,Ark,ARK,43865620.00,0.35,"125,168,875",ARK,3330586.00,0.0047,-0.0431,0.0496,0.47,-4.31,4.96,100,
148,SUN,SUN,46736735.00,10.20,"4,581,173",SUN,62957581.00,0.0380,0.2926,0.2704,3.8,29.26,27.04,100,
149,ShareRing,SHR,45975680.00,0.02,"1,997,872,389",SHR,4943953.00,0.0195,-0.0675,0.1318,1.95,-6.75,13.18,100,
150,QuarkChain,QKC,45619596.00,0.01,"9,100,443,802",QKC,3043905.00,0.0002,-0.0077,0.0329,0.02,-0.77,3.29,100,
151,Energi,NRG,41437423.00,1.18,"34,996,560",NRG,1503960.00,-0.0028,0.0248,-0.2372,-0.28,2.48,-23.72,100,
152,TomoChain,TOMO,43961396.00,0.58,"76,030,375",TOMO,5184863.00,0.0079,0.0012,-0.0238,0.79,0.12,-2.38,100,
153,IRISnet,IRIS,43268437.00,0.05,"866,412,209",IRIS,2520262.00,0.0178,-0.0198,-0.0093,1.78,-1.98,-0.93,100,
154,Theta Fuel,TFUEL,42373564.00,0.01,"4,962,631,792",TFUEL,665220.00,0.0045,-0.0128,-0.0694,0.45,-1.28,-6.94,100,
155,Electroneum,ETN,42157777.00,0.00,"10,209,123,534",ETN,1431831.00,0.0000,0.0159,-0.0636,0,1.59,-6.36,100,
156,Loki,LOKI,41879503.00,0.81,"51,764,164",LOKI,224157.00,0.0051,0.082,0.8298,0.51,8.2,82.98,100,
157,Hyperion,HYN,42423871.00,0.13,"316,765,917",HYN,81382.00,-0.0046,-0.0033,0.1169,-0.46,-0.33,11.69,100,
158,SingularityNET,AGI,39508425.00,0.05,"850,430,268",AGI,364375.00,0.0059,-0.0933,0.0057,0.59,-9.33,0.57,100,
159,OriginTrail,TRAC,40115371.00,0.12,"334,823,964",TRAC,2816989.00,0.0096,-0.0863,-0.3898,0.96,-8.63,-38.98,100,
160,Kin,KIN,39620813.00,0.00,,KIN,87481.00,0.0043,-0.0052,0.156,0.43,-0.52,15.6,100,
161,Pundi X,NPXS,39917359.00,0.00,"234,544,488,396",NPXS,1305006.00,0.0057,-0.0048,0.0339,0.57,-0.48,3.39,100,
162,Switcheo,SWTH,39133274.00,0.04,"1,063,001,033",SWTH,124394.00,-0.0433,0.0204,0.3576,-4.33,2.04,35.76,100,
163,Fantom,FTM,37670415.00,0.02,"2,133,081,462",FTM,6806156.00,0.0059,-0.0165,-0.0832,0.59,-1.65,-8.32,100,
164,STASIS EURO,EURS,37463463.00,1.17,"31,979,207",EURS,2436740.00,0.0010,0.0015,-0.0074,0.1,0.15,-0.74,100,
165,Ultra,UOS,37068018.00,0.13,"282,480,130",UOS,555515.00,0.0156,0.0912,0.3324,1.56,9.12,33.24,100,
166,Tellor,TRB,37504381.00,24.12,"1,554,643",TRB,55356339.00,0.0204,0.0327,0.0201,2.04,3.27,2.01,100,
167,Zcoin,XZC,36998958.00,3.30,"11,215,381",XZC,5077110.00,0.0009,0.0236,0.0101,0.09,2.36,1.01,100,
168,Power Ledger,POWR,36698141.00,0.09,"423,992,467",POWR,988525.00,0.0118,-0.0361,0.0228,1.18,-3.61,2.28,100,
169,Hxro,HXRO,36544883.00,0.20,"179,150,221",HXRO,322916.00,0.0326,-0.0112,-0.0647,3.26,-1.12,-6.47,100,
170,DIA,DIA,35545439.00,1.26,"28,271,916",DIA,20037153.00,-0.0156,0.0985,0.1277,-1.56,9.85,12.77,100,
171,HyperCash,HC,35860127.00,0.80,"44,882,306",HC,7134658.00,-0.0028,-0.0086,-0.0992,-0.28,-0.86,-9.92,100,
172,district0x,DNT,35571317.00,0.06,"600,000,000",DNT,10190426.00,0.0129,-0.0175,-0.1298,1.29,-1.75,-12.98,100,
173,Kleros,PNK,34840020.00,0.06,"570,235,435",PNK,3707410.00,0.1101,-0.2462,0.3063,11.01,-24.62,30.63,100,
174,WaykiChain,WICC,34532442.00,0.18,"189,000,000",WICC,5439246.00,0.0130,0.0115,0.0648,1.3,1.15,6.48,100,
175,Digitex Futures,DGTX,33746304.00,0.04,"931,035,715",DGTX,2487942.00,0.0008,-0.0712,0.1043,0.08,-7.12,10.43,100,
176,SOLVE,SOLVE,33865739.00,0.09,"375,651,077",SOLVE,57524.00,-0.0110,-0.0124,-0.0172,-1.1,-1.24,-1.72,100,
177,v.systems,VSYS,33236676.00,0.02,"2,136,367,867",VSYS,2619844.00,-0.0475,0.0975,0.0416,-4.75,9.75,4.16,100,
178,GateToken,GT,31791591.00,0.42,"75,763,049",GT,11041577.00,-0.0001,-0.0052,-0.0004,-0.01,-0.52,-0.04,100,
179,Voyager Token,VGX,31497911.00,0.14,"222,295,208",VGX,3708.00,-0.0065,-0.0011,-0.0623,-0.65,-0.11,-6.23,100,
