Date,GOLD
2020-04-06,20.549999
2020-04-07,20.309999
2020-04-08,20.41
2020-04-09,22.51
2020-04-13,24.370001
2020-04-14,24.43
2020-04-15,24.469999
2020-04-16,25
2020-04-17,24.540001
2020-04-20,24.92
2020-04-21,24.82
2020-04-22,26.48
2020-04-23,26.74
2020-04-24,27.1
2020-04-27,26.93
2020-04-28,26.959999
2020-04-29,26.549999
2020-04-30,25.719999
2020-05-01,26.93
2020-05-04,27.379999
2020-05-05,28.190001
2020-05-06,26.559999
2020-05-07,27.26
2020-05-08,27.389999
2020-05-11,26.02
2020-05-12,26.040001
2020-05-13,26.120001
2020-05-14,27.139999
2020-05-15,28.040001
2020-05-18,27.200001
2020-05-19,28.1
2020-05-20,27.25
2020-05-21,26.26
2020-05-22,26.32
2020-05-26,24.73
2020-05-27,23.92
2020-05-28,23.950001
2020-05-29,24
2020-06-01,24.780001
2020-06-02,23.950001
2020-06-03,23.219999
2020-06-04,23.43
2020-06-05,23.290001
2020-06-08,23.559999
2020-06-09,24.33
2020-06-10,25.08
2020-06-11,24.309999
2020-06-12,24.07
2020-06-15,24.74
2020-06-16,24.379999
2020-06-17,24.25
2020-06-18,23.940001
2020-06-19,24.49
2020-06-22,25.450001
2020-06-23,25.68
2020-06-24,25.709999
2020-06-25,25.73
2020-06-26,25.870001
2020-06-29,26.129999
2020-06-30,26.940001
2020-07-01,26.809999
2020-07-02,26.27
2020-07-06,26.610001
2020-07-07,27.02
2020-07-08,27.719999
2020-07-09,27.59
2020-07-10,27.110001
2020-07-13,26.129999
2020-07-14,27.049999
2020-07-15,27.09
2020-07-16,26.690001
2020-07-17,27.34
2020-07-20,28.120001
2020-07-21,28.23
2020-07-22,28.52
2020-07-23,27.99
2020-07-24,28.440001
2020-07-27,29.91
2020-07-28,29.59
2020-07-29,28.780001
2020-07-30,28.25
2020-07-31,28.91
2020-08-03,28.719999
2020-08-04,29.75
2020-08-05,29.84
2020-08-06,29.5
2020-08-07,28.870001
2020-08-10,28.719999
2020-08-11,26.25
2020-08-12,26.18
2020-08-13,27.139999
2020-08-14,26.99
2020-08-17,30.129999
2020-08-18,30.040001
2020-08-19,28.98
2020-08-20,29.950001
2020-08-21,29.309999
2020-08-24,28.969999
2020-08-25,28.75
2020-08-26,29.370001
2020-08-27,28.58
2020-08-28,29.200001
2020-08-31,29.65
2020-09-01,29.33
2020-09-02,29.610001
2020-09-03,29.26
2020-09-04,29.049999
2020-09-08,29.200001
2020-09-09,30.459999
2020-09-10,30.110001
2020-09-11,29.75
2020-09-14,29.93
2020-09-15,29.99
2020-09-16,29.99
2020-09-17,29.139999
2020-09-18,28.889999
2020-09-21,28.190001
2020-09-22,28.42
2020-09-23,27.139999
2020-09-24,27.65
2020-09-25,27.700001
2020-09-28,27.76
2020-09-29,28.280001
2020-09-30,28.110001
2020-10-01,28.26
2020-10-02,27.889999
2020-10-05,28.370001
2020-10-06,27.059999
2020-10-07,26.950001
2020-10-08,27.27
2020-10-09,28.049999
2020-10-12,28.040001
2020-10-13,27.959999
2020-10-14,28.309999
2020-10-15,27.75
2020-10-16,27.57
2020-10-19,27.02
2020-10-20,27.07
2020-10-21,27.370001
2020-10-22,26.889999
2020-10-23,26.809999
2020-10-26,26.629999
2020-10-27,27.09
2020-10-28,25.92
2020-10-29,26.17
2020-10-30,26.73
2020-11-02,27.16
2020-11-03,27.780001
2020-11-04,27.42
2020-11-05,29.32
2020-11-06,28.870001
2020-11-09,26.9
2020-11-10,25.940001
2020-11-11,25.790001
2020-11-12,25.91
2020-11-13,25.889999
